Year,Month,Day,Hour,PM2.5,PM10_mask,Retrospective
2016,3,26,22,47.88,0.82,0
2016,3,26,23,48.07,0.82,0
2016,3,27,0,47.21,0.79,0
2016,3,27,1,45.02,0.78,0
2016,3,27,2,42.71,0.75,0
2016,3,27,3,41.96,0.75,0
2016,3,27,4,40.33,0.75,0
2016,3,27,5,44.81,0.78,0
2016,3,27,6,44.16,0.78,0
2016,3,27,7,47.9,0.78,0
2016,3,27,8,49.31,0.78,0
2016,3,27,9,48,0.78,0
2016,3,27,10,48.55,0.77,0
2016,3,27,11,47.91,0.78,0
2016,3,27,12,45.96,0.77,0
2016,3,27,13,44.44,0.77,0
2016,3,27,14,42.09,0.77,0
2016,3,27,15,43.47,0.76,0
2016,3,27,16,44.97,0.76,0
2016,3,27,17,44.8,0.77,0
2016,3,27,18,44.7,0.81,0
2016,3,27,19,48.14,0.82,0
2016,3,27,20,50.55,0.82,0
2016,3,27,21,52.99,0.82,0
2016,3,27,22,51.42,0.78,0
2016,3,27,23,51.28,0.78,0
2016,3,28,0,49.11,0.78,0
2016,3,28,1,48.38,0.73,0
2016,3,28,3,47.92,0.72,0
2016,3,28,4,50.26,0.59,0
2016,3,28,5,53.08,0.6,0
2016,3,28,6,55.62,0.6,0
2016,3,28,7,54.85,0.61,0
2016,3,28,8,62.5,0.61,0
2016,3,28,9,61.28,0.6,0
2016,3,28,10,59.33,0.6,0
2016,3,28,11,60.07,0.6,0
2016,3,28,12,59.97,0.59,0
2016,3,28,13,60.31,0.58,0
2016,3,28,14,59.07,0.58,0
2016,3,28,15,56.94,0.58,0
2016,3,28,16,59.04,0.59,0
2016,3,28,18,56.23,0.59,0
2016,3,28,19,63.4,0.61,0
2016,3,28,20,62.86,0.75,0
2016,3,28,21,62.5,0.92,0
2016,3,28,22,57.44,0.91,0
2016,3,28,23,50.79,0.79,0
2016,3,29,0,47.17,0.73,0
2016,3,29,1,45.21,0.73,0
2016,3,29,2,46.28,0.73,0
2016,3,29,3,45.59,0.73,0
2016,3,29,4,48.56,0.74,0
2016,3,29,5,47.34,0.74,0
2016,3,29,6,48.8,0.72,0
2016,3,29,7,50.39,0.72,0
2016,3,29,8,52.03,0.72,0
2016,3,29,9,51.88,0.72,0
2016,3,29,10,51.87,0.72,0
2016,3,29,11,47.26,0.6,0
2016,3,29,12,48.7,0.6,0
2016,3,29,13,52,0.59,0
2016,3,29,14,55.68,0.59,0
2016,3,29,15,54.68,0.58,0
2016,3,29,16,53.05,0.59,0
2016,3,29,17,51.12,0.59,0
2016,3,29,18,58.5,0.73,0
2016,3,29,19,58.81,0.74,0
2016,3,29,20,61.71,0.74,0
2016,3,29,21,61.12,0.74,0
2016,3,29,22,54.01,0.59,0
2016,3,29,23,49.96,0.71,0
2016,3,30,0,46.44,0.71,0
2016,3,30,1,49.14,0.71,0
2016,3,30,2,49.05,0.71,0
2016,3,30,3,50.57,0.59,0
2016,3,30,4,51.14,0.59,0
2016,3,30,5,50.45,0.59,0
2016,3,30,6,58.17,0.59,0
2016,3,30,7,61.67,0.59,0
2016,3,30,8,61.4,0.59,0
2016,3,30,9,61.76,0.59,0
2016,3,30,10,58.34,0.59,0
2016,3,30,11,58.09,0.58,0
2016,3,30,12,56.36,0.58,0
2016,3,30,13,55.13,0.57,0
2016,3,30,14,56.27,0.57,0
2016,3,30,15,57.96,0.57,0
2016,3,30,16,58.82,0.57,0
2016,3,30,17,59.55,0.58,0
2016,3,30,18,63.83,0.71,0
2016,3,30,19,68.62,0.71,0
2016,3,30,20,71.58,0.71,0
2016,3,30,21,71.9,0.72,0
2016,3,30,22,69.28,0.64,0
2016,3,30,23,62.58,0.64,0
2016,3,31,0,57.2,0.66,0
2016,3,31,1,58.33,0.66,0
2016,3,31,3,51.45,0.75,0
2016,3,31,4,55.01,0.75,0
2016,3,31,5,55.01,0.76,0
2016,3,31,6,59.08,0.76,0
2016,3,31,9,57.97,0.76,0
2016,3,31,10,58.67,0.76,0
2016,3,31,11,53.43,0.76,0
2016,3,31,12,53.87,0.75,0
2016,3,31,13,50.62,0.75,0
2016,3,31,14,51.06,0.75,0
2016,3,31,15,52.07,0.75,0
2016,3,31,16,52.47,0.76,0
2016,3,31,17,52.74,0.76,0
2016,3,31,18,53.19,0.8,0
2016,3,31,19,54.01,0.81,0
2016,3,31,20,56.58,0.77,0
2016,3,31,21,52.66,0.77,0
2016,3,31,22,47.66,0.67,0
2016,3,31,23,45.12,0.76,0
2016,4,1,0,42.92,0.75,0
2016,4,1,1,38.76,0.75,0
2016,4,1,2,40.78,0.75,0
2016,4,1,3,41.03,0.77,0
2016,4,1,4,42.29,0.77,0
2016,4,1,5,42.77,0.81,0
2016,4,1,6,44.07,0.78,0
2016,4,1,7,42.84,0.76,0
2016,4,1,8,42.63,0.76,0
2016,4,1,9,38.99,0.76,0
2016,4,1,10,38.11,0.76,0
2016,4,1,11,37.71,0.76,0
2016,4,1,12,35.89,0.76,0
2016,4,1,13,36.62,0.76,0
2016,4,1,14,34.97,0.76,0
2016,4,1,15,40.9,0.67,0
2016,4,1,16,39.01,0.67,0
2016,4,1,17,40.64,0.67,0
2016,4,1,18,46.52,0.67,0
2016,4,1,19,52.53,0.77,0
2016,4,1,20,47.58,0.77,0
2016,4,1,21,46.58,0.77,0
2016,4,1,22,39.75,0.77,0
2016,4,1,23,38.01,0.81,0
2016,4,2,0,36.97,0.8,0
2016,4,2,1,34.17,0.76,0
2016,4,2,2,33.66,0.76,0
2016,4,2,3,35.93,0.77,0
2016,4,2,4,34.97,0.77,0
2016,4,2,5,35.53,0.77,0
2016,4,2,6,35.84,0.77,0
2016,4,2,7,39.36,0.77,0
2016,4,2,8,41.63,0.76,0
2016,4,2,9,40.92,0.76,0
2016,4,2,10,41,0.76,0
2016,4,2,11,38.19,0.75,0
2016,4,2,12,39.77,0.75,0
2016,4,2,13,39.29,0.74,0
2016,4,2,14,40.93,0.76,0
2016,4,2,15,36.98,0.66,0
2016,4,2,16,37.22,0.66,0
2016,4,2,17,38.23,0.76,0
2016,4,2,18,41.03,0.76,0
2016,4,2,19,45.17,0.76,0
2016,4,2,20,43.8,0.8,0
2016,4,2,21,43.84,0.8,0
2016,4,2,22,40.95,0.82,0
2016,4,2,23,38.24,0.82,0
2016,4,3,0,37.5,0.82,0
2016,4,3,1,35.6,0.81,0
2016,4,3,2,37.66,0.77,0
2016,4,3,3,40.55,0.77,0
2016,4,3,4,35.44,0.77,0
2016,4,3,5,39.19,0.77,0
2016,4,3,6,43.69,0.77,0
2016,4,3,7,47.38,0.77,0
2016,4,3,8,47.26,0.77,0
2016,4,3,9,47.15,0.77,0
2016,4,3,10,43.35,0.77,0
2016,4,3,11,43.58,0.77,0
2016,4,3,12,43.58,0.76,0
2016,4,3,13,40.72,0.76,0
2016,4,3,14,38.85,0.76,0
2016,4,3,15,39.93,0.75,0
2016,4,3,16,42.5,0.76,0
2016,4,3,17,40.04,0.76,0
2016,4,3,18,46.72,0.76,0
2016,4,3,19,50.7,0.8,0
2016,4,3,20,51.39,0.81,0
2016,4,3,21,52.44,0.81,0
2016,4,3,22,52.84,0.82,0
2016,4,3,23,49.68,0.76,0
2016,4,4,0,46.24,0.76,0
2016,4,4,1,40.04,0.76,0
2016,4,4,2,38.77,0.76,0
2016,4,4,3,37.21,0.76,0
2016,4,4,4,37.62,0.76,0
2016,4,4,5,35.02,0.76,0
2016,4,4,6,38.57,0.76,0
2016,4,4,7,40.99,0.74,0
2016,4,4,8,42.43,0.76,0
2016,4,4,9,45.81,0.76,0
2016,4,4,10,44.5,0.76,0
2016,4,4,11,43.6,0.76,0
2016,4,4,12,40.61,0.76,0
2016,4,4,13,40.74,0.76,0
2016,4,4,14,39.35,0.76,0
2016,4,4,15,40.92,0.76,0
2016,4,4,16,40.87,0.76,0
2016,4,4,17,41.42,0.76,0
2016,4,4,18,46.83,0.76,0
2016,4,4,19,51.3,0.76,0
2016,4,4,20,48.27,0.76,0
